id,givenname,surname,dob,gender,city,income,phone number
1,joshua,arkwright,16-02-1903,male,canberra,70189.446,04 8511 9580
3,zal:,verner,22-12-1972,,perrh,50194.118,02 1090 1906
7,oliyer,paciorwk,10-02-1959,male,,31750.993,04 4210 5949
8,nacoya,ranson,17-08-1925,male,melbourne,102446.131,07 6033 4580
10,erih,campbell,29-12-1i83,male,perrh,331476.599,08 299t 1435
15,blayke,halligan,18-07-1953,male,perth,28476.097,07 8375 9180
18,connor,neville,15-04-1940,male,melbourne,121872.268,04 0060 6338
23,luke,nguyen,04-08-1996,female,brisbane,60891.939,08 1805 4538
24,mia,melhado,27-02-1984,female,brisbane,40779.706,07 3123 6253
28,jasmi17e,allard,01-02-1922,female,br:sbane,51296.248,03 4699 0896
29,madison,lod9e,17-12-1979,fenale,sydjey,196048.751,02 4853 7516
30,siaitlyn,robezon,31-12-1937,male,sdvnev,105108.052,07 2226 8544
32,benjamin,moody,08-08-1983,male,melbourne,189714.188,04 9115 3323
35,kieran,korff,15-04-1999,male,melbourne,44848.976,07 7976 3419
37,grace,miles,15-07-1987,male,sydney,41305.248,04 7821 7512
38,talia,radic,02-09-1986,male,sydney,53423.742,02 7704 6994
40,twmothy,klarke,14-08-1803,male,,71909.786,02 3534 5499
43,emiily,crouch,08-08-1912,male,melbourne,151364.164,04 1399 5159
46,lily,dohse,12-03-1967,male,sydney,63174.791,02 1522 6095
51,holly,bishop,23-12-1944,female,canberra,51491.273,02 9585 8876
52,kri5den,nevikile,,male,perth,12078e.056,04 4537 2177
53,annalise,peiiiper,22-98-1999,fenaoe,,55345.466,04 2301 1449
54,mitchell,green,05-04-1944,female,brisbane,46952.049,07 7124 7161
55,abii,rotman,20-08-1950,male,melbourne,196874.624,04 9540 3591
57,paige,vincent,19-11-1938,female,sydney,118127.459,04 3900 4793
59,emsilii,thOzpe,02-01-1995,male,perth,259570.056,08 0166 1875
62,tai,rawlings,28-11-1911,male,sydney,130439.338,07 5157 6102
64,mikayla,vincent,29-11-1958,female,brisbane,67995.620,04 8044 5649
65,maliah,thregold,14-05-1939,female,canberra,32367.614,02 9552 4837
68,alexander,murtom,25-11-1935,mals,melbourne,41350.135,07 4299 8949
69,april,bullivant,01-06-1963,male,sydney,94639.704,04 5449 8317
70,vanessa,bla1<e,05-12-1947,female,syd17ey,102302.102,02 2074 0210
71,toby,coulson,26-02-1965,female,sydney,159926.692,04 7355 1598
72,stirling,brus,12-09-1913,female,sydney,138276.863,02 7650 7829
74,hugh,garcia,30-05-1935,female,melbourne,1371442.656,08 0711 9483
75,sophie,shelly,02-07-1973,male,melbourne,108041.644,07 7639 9253
76,olivia,hand,24-04-1910,female,sydney,166612.290,03 6946 2798
78,joshua,brokenshire,15-09-1933,male,sydney,53175.163,08 4936 8643
82,lachlan,hazvck,27-04-1979,male,canebeea,,
83,charlotte,cadman,29-05-1934,female,sydney,182685.669,02 4942 5444
86,zac,reid,05-03-2011,female,sydney,187121.405,04 0986 9174
90,ryan,mukans,05-06-1929,male,melbourne,140340.073,04 0895 0537
92,heath,de bono,20-08-1924,male,sydney,158209.464,02 0903 4638
97,bailey,dixon,08-07-1927,male,melbourne,40787.287,08 8504 8717
98,jemma,eyre,09-03-1952,female,sydney,89919.294,03 9231 6035
100,william,rudr,29-94-1969,male,canzberra,83634.215,04 0726 3846
1000,pace,clarke,27-03-2008,female,melbourne,1661552.841,08 1695 0829
1007,jacob,papoutsis,18-10-1944,male,melbourne,182453.352,04 6760 5426
1015,cooper,jolly,08-12-1911,male,melbourne,43321.153,02 7516 6223
102,tegan,blowed,23-06-1963,male,peeth,,08 2615 6644
1020,lara,chandler,18-05-1963,male,sydney,109973.732,07 2737 2852
1021,k,laveety,03-06-1974,male,melbourne,157131.298,04 2907 i999
1022,josephine,giannoni,11-05-2000,female,sydney,138107.289,04 1173 0376
1026,trinity,alcazar,11-07-1972,male,canberra,61527.653,08 1143 9735
1031,crystal,green,28-10-1983,female,melbourne,309203.478,03 0942 7685
1036,tahlia,wittchen,02-01-2012,male,canberra,58432.289,08 1324 2632
1038,trevor,nubel,07-04-1914,male,sydney,57356.616,07 6445 0246
104,babey,matdon,21-09-1979,male,sydney,,08 3311 5266
1040,juliana,reid,17-12-1902,male,melbourne,137284.236,07 1232 7122
1046,bayley,lowe,12-06-1926,female,brisbane,26744.945,07 0505 2232
1047,dylan,donaldson,08-10-1923,female,sydney,82357.275,08 8472 3847
105,bianca,knapmna,29-04-1988,fejale,bribsane,45009.637,07 4208 9532
1053,isabella,lamprey,20-01-1982,male,canberra,85201.593,08 5125 8569
1054,luke,reid,03-06-1985,male,sydney,47469.880,03 7204 5856
1058,sam,weller,13-06-1987,female,melbourne,493966.554,08 2678 7055
1060,yasmin,lighten,26-09-1955,male,perth,271547.150,07 2104 3776
1065,edward,voglino,19-10-1917,male,perth,159432.605,02 8993 4390
1066,abbey,klarke,02-10-2002,male,melb9urne,120948.828,03 0480 0624
1069,hannah,varcoe,21-11-1971,male,sydney,95648.901,08 7577 4078
1071,chelsea,gloster,08-04-2005,female,brisbane,29475.757,04 8225 0630
1072,ruby,nguyen,31-03-1959,female,brisbane,28753.055,08 3727 3796
1079,mia,hodgens,24-03-1955,female,melbourne,528601.723,03 2927 6456
1082,willuam,hereb,28-07-1941,male,sydeny,,03 0739 0636
1083,marko,rollins,16-04-1931,male,perth,234721.590,02 5841 8406
1087,amelia,petersen,23-06-1912,male,melbourne,185819.500,07 7618 5897
1088,shane,campbell,06-05-1992,male,sydney,84679.535,03 5308 5762
1094,jesse,shepherd,18-02-1962,male,melbourne,131918.874,07 6244 1946
1097,gus,berry,11-07-1982,female,melbourne,238136.849,03 0954 5289
1102,kridetn,hare,17-09-1933,male,meozourne,126436.288,07 1223 6944
1104,jairus,clarkr,12-05-1013,female,,167377.253,
1106,aikaterina,harrington,31-12-1937,male,sydney,140582.730,07 2633 7949
1107,payley,hrbert,03-02-20p8,male,cannetra,58667.970,02 5370 3913
1116,tasman,tennent,26-09-1942,female,sydney,173821.228,07 6928 9758
1117,nicholas,purtell,25-02-1939,male,canberra,74695.853,04 4453 5514
1119,jessica,smallacombe,23-05-1986,male,perth,283380.836,08 7768 6125
1120,roperta,griqn,,female,syclney,154040.063,07 0861 0551
1121,eleanor,prammy,03-03-1944,femaoe,sydney,173328.186,07 2373 1390
1124,dameron,drought,19-05-2012,male,xanberra,51382.864,08 5242 3638
1127,natasha,mclelland,16-04-2008,male,canberra,69289.762,03 5367 8708
1132,bethany,scudds,31-06-1939,male,melbourne,101216.731,08 8508 0857
1135,thomas,skrpan,15-11-1979,male,canberra,70256.456,04 2074 3768
114,st0ehanie,klarke,11-12-1962,male,,132957.330,02 6216 0377
1140,warrick,breglove,29-07-1991,female,melbourne,214694.950,04 7197 7421
1142,samuel,clarke,30-08-1976,female,sydney,155667.711,02 4094 4890
1143,harry,neumann,18-08-1944,male,melbourne,182177.686,04 8013 9515
1144,georjia,mayer,16-08-1965,femsle,syfney,165354.549,02 8627 0684
1146,thomas,wegman,08-03-1927,female,melbourne,1576206.791,08 0983 8061
1151,erni,weafer,02-0q-2965,male,,51625.565,08 2726 5190
1156,danielle,maityanos,23-08-1946,f3male,,,04 8702 5837
1157,rubi,klarke,15-08-2001,male,canber5a,70292.927,08 0400 6123
116,megan,boermapn,26-12-1969,femake,,157029.645,04 9250 5978
1161,cooper,dunstone,06-09-1929,female,melbourne,445660.741,07 7594 5363
1165,jes5ica,mildren,06-11-1083,mald,sydney,40359.826,
1166,caleb,gronos,05-09-1o99,female,sydnev,80454.195,08 6309 5095
1168,jasper,robson,27-10-1974,female,sydney,110252.511,07 4776 4564
1169,lily,mc9regor,11-11-1947,female,,145341.457,08 8697 9046
117,caitlyn,clarke,20-05-2011,female,melbourne,1443174.945,02 0727 8804
1171,isabelle,bridgland,30-02-1994,male,sydney,63514.217,04 5318 6471
1174,momiq64,behrru,24-03-2989,,canberra,57996.168,03 3844 4009
1175,jarrod,webb,24-04-1957,male,melbourne,151711.517,08 9568 6546
1176,elisa,dorzey,19-06-1925,male,,,02 8692 0891
1179,lucu,wekb,19-06-1989,malw,,105625.564,03 1420 4707
118,samuel,white,03-11-1950,female,brisbane,37583.741,04 0492 9149
1183,georgia,martg3ws,08-06-1998,female,,153090.431,07 8220 6400
1186,th0mas,shepherd,03-01-1975,female,sydnwy,127192.304,07 9162 0764
1189,gart,hope,02-07-1981,male,,56446.237,
119,ambrr,howie,01-09-1956,make,,106734.159,07 2597 0619
1191,mikayla,fenwick,28-09-1910,male,perth,180456.094,03 2086 7482
1192,isabella,dixon,06-04-1943,female,sydney,151534.662,02 9017 3968
1193,lachlan,webb,27-12-1937,male,perth,214838.063,03 8936 2031
1196,macy,nguyen,24-10-1963,male,sydney,80010.991,04 4037 9135
120,charlotte,petersen,25-10-1904,male,perth,59231.332,08 9950 7803
1200,emma,lowe,04-08-1917,male,sydney,65266.109,04 2631 4640
1206,ki5rk,ma5om,08-05-1993,male,sfdney,113539.751,03 4196 2140
1207,marcus,priest,29-09-1985,male,perth,100171.966,04 2105 0246
1214,dale,westbrook,29-01-2009,male,melbourne,119275.652,04 2473 8873
1218,jkac,la:ng,19-06-1927,male,emlbourne,117312.166,07 5850 6914
1220,michael,finlay,20-02-1949,male,perth,308980.919,02 0559 8021
1225,corie,clarke,05-11-2007,male,sydney,121916.921,03 2639 3261
1227,ebonv,jokic,28-10-1905,male,ertg,28019.494,08 2571 7713
1230,nichola5,n9uyen,24-02-1929,malw,,94761.027,08 5149 9569
1231,chelsea,hindmarch,02-12-2001,female,sydney,122936.174,08 9754 8055
1235,michael,buccini,15-03-1994,male,melbourne,190226.675,08 2323 7412
1238,eron,colenan,07-11-1934,female,brisbane,32019.094,04 4072 3751
1241,megsri,weaveah,,male,canberra,89506.572,03 0848 2421
1243,thomas,donalsdon,13-04-2900,male,perth,489229.297,08 6963 2944
1248,annabke,kiapy,15-12-1900,male,sy1d7ey,122726.837,
1249,bridget,vernik,27-12-1970,male,sydney,22900.923,02 0340 6213
125,alana,van der biezen,30-03-1954,male,perth,281171.635,02 9948 9515
1251,chloe,clarke,16-09-1993,female,brisbane,63052.368,07 1652 3250
1257,ulke,rees,31-07-1005,male,sydsney,113278.706,04 0671 5044
1258,sarab,evlse,,femal3,brisbane,38921.948,02 4595 2403
1260,shona,zgierwki,13-06-1977,,pertb,42597.124,
1261,elly,clarke,08-03-1969,male,canberra,66096.925,02 7019 7606
1262,paiwey,hendri1<sen,27-07-2000,male,canbrera,83163.583,
