id,givenname,surname,dob,phone number,gender
0,tara,hilton,27-08-1941,08 2210 0298,male
3,saJi,vernre,22-12-2972,02 1090 1906,mals
7,sliver,paciorek,,,mals
9,ruby,george,09-05-1939,07 4698 6255,male
10,eyrinm,campbell,29-1q-1983,08 299y 1535,male
13,anlka,chou,29-01-2916,07 3211 4441,female
16,alexandra,chandler,08-08-1911,07 6713 8718,male
19,paul,bowerman,03-02-1916,08 4105 6176,female
22,jake,burnell,09-09-1951,03 8510 5145,male
25,kate,pastore,03-09-1933,02 4216 7877,male
28,jasmine,allarkl,01-p2-1921,03 4699 0806,female
29,mdaison,lodge,17-12-1969,02 4853 8516,female
30,caitlvn,rol>e5on,31-12-1937,07 2226 8544,malw
31,hayley,beelitz,27-02-1911,08 2770 3972,female
40,timrny,cla5ke,14-08-1903,02 3535 5499,male
41,jake,blake,18-01-1936,03 4185 8305,male
45,isabella,koolen,02-10-1980,04 3096 4098,male
46,illy,dohse,12-03-1967,02 1522 6095,malw
52,krisdne,nevilile,01-08-1997,04 4647 2177,male
53,annal'lse,pempre,22-08-1999,04 2302 1449,femake
59,meiiky,tho5pe,02-02-1995,08 0166 1864,male
65,malya,thredgold,,02 9552 3838,female
66,michael,paine,27-09-1958,07 7955 2590,male
68,alexahder,murton,25-12-1945,07 4299 8059,mald
70,vanessa,blake,05-12-1945,02 2074 0210,female
73,hannah,terrens,20-06-1925,03 4991 7081,female
80,lucy,streich,15-09-1925,03 2910 2605,female
82,lacblam,haack,27-04-2979,02 4463 3959,male
84,rhys,winfield,27-09-1971,07 0438 4527,female
89,james,bradshaw,01-02-2012,03 4121 6771,male
98,jemrna,eyar,09-03-1952,03 9331 6035,
100,wjllyam,rudd,29-04-1969,04 0726 3946,
1001,lauren,green,13-02-1954,03 2464 6462,male
1002,genevieve,halik,14-06-1940,07 5611 1100,female
1003,archie,slape,13-07-1923,03 1691 5166,female
1009,charlotte,leung,14-04-1964,03 2575 5385,male
1012,nicole,crouch,01-06-2000,07 7512 5502,female
1013,william,gaskin,26-11-1963,02 2289 6249,male
1017,hamish,blake,30-06-1908,03 0499 5201,male
1018,eliza,reid,16-02-1914,02 9969 4435,female
1019,joanna,mcgregor,16-11-1959,08 8705 3186,female
102,tegam,blowez,23-06-1963,08 2616 6544,male
1021,ky,laverty,03-05-1974,04 2907 8990,
1024,shelby,haar,03-08-1977,04 5050 3497,male
1026,tr9intv,alcazar,,08 1143 9635,malr
1032,chloe,myles,11-06-1961,02 8920 6374,female
1033,lilly,khodan,05-08-1916,08 5768 0300,male
104,abbev,matsoj,21-09-1989,08 3311 5266,make
1042,mia,nguyen,30-01-1906,08 0214 9238,male
1045,joshua,burnell,25-07-1995,07 5158 4686,female
1046,bayley,loe,12-06-1926,07 0595 2232,fenale
1047,dylan,tonaldson,08-10-1923,08 8472 3847,femake
105,bianca,ckanapman,,,
1050,chelsea,millar,02-12-1950,04 3617 9351,female
1051,tristan,shirodkar,25-10-2011,03 0775 8206,female
1063,kaitlin,curry,30-08-1927,07 4889 7537,female
1065,etommd,foglino,19-20-1917,02 8993 4390,male
1066,abbey,bclarke,,03 0489 0624,male
1070,kimberly,tsakiridis,20-01-1951,08 3476 9846,male
1074,grayson,petersen,27-09-2008,03 1681 1680,female
1078,emma,corbin,20-04-1974,04 8598 9667,female
108,mason,white,06-12-1981,08 1612 6220,male
1080,makenzie,nye,09-03-1983,03 4684 7837,female
1082,iwlluarn,green,28-07-1941,,
1084,tahlia,reid,01-01-1961,02 5657 6615,male
1086,zane,noble,28-08-1916,08 4071 3007,female
1091,samuel,hanks,13-11-2004,04 9851 5930,male
