id,givenname,surname,dob,phone number,city
3,zali,verner,22-12-1972,02 1090 1906,perth
4,samuel,tremellen,21-12-1923,03 3605 9336,melbourne
5,amy,lodge,16-01-1958,07 8286 9372,canberra
7,oIji,pacioerk,10-02-1959,04 4220 5949,sydney
10,erin,kampgell,29-12-1983,08 2996 1445,perth
12,macormack,hamley,27-04-1944,04 4967 2017,sydney
13,anika,chou,29-01-q916,07 3211 4441,
20,logan,ries,08-02-2010,07 8936 5810,sydney
27,jack,gartlan,29-12-1977,03 7332 2121,canberra
28,jasmine,allard,01-02-1921,03 4699 0896,brisbane
29,madison,Jldge,17-22-1969,02 4853 7516,smdney
30,caitlyn,robeson,31-12-1937,,
33,bianca,wilkey,29-07-1996,08 2270 4010,canberra
40,timmy,clarke,14-08-1903,02 3534 54i9,
42,william,thorpe,24-08-1903,04 9959 4111,sydney
46,lliy,dohsw,12-03-1967,02 1522 6095,
47,kieran,green,15-11-1951,07 4055 4904,sydney
48,emiily,canavan,19-12-1959,04 4911 4815,melbourne
50,georgia,nguyen,02-12-1998,02 0116 1822,brisbane
52,kristetn,neville,01-98-1997,04 4537 2177,pwrth
53,naneliese,pejmpwr,22-08-1999,04 2301 1449,bril>sa9e
58,emma,lihou,06-07-1904,03 2801 1975,sydney
59,emiily,tho4pe,02-02-2995,08 0167 1865,
60,jack,white,20-01-1921,08 2156 1752,brisbane
63,madison,wesley-smith,14-02-1915,04 2005 9621,sydney
65,maliah,thrbed9old,14-05-1929,,
68,alessandro,murtori,25-12-1935,07 4299 9959,melbotuen
70,vanessa,blayke,05-12-1945,,sydney
77,liana,mccracken,23-07-2009,04 9697 0887,melbourne
79,april,spratt,24-07-1939,03 9152 2035,sydney
82,lachlsn,haack,27-04-1979,02 4463 3069,canberra
85,natalie,webb,17-06-1906,02 1750 4746,melbourne
93,luke,tollner,30-03-1971,04 2213 2487,sydney
95,phoebe,modystach,15-04-1951,08 7080 9490,melbourne
98,jemms,eyar,09-03-1952,03 9231 6035,sydney
100,william,rudd,29-04-1969,04 0726 3846,canberra
1004,talia,egan,30-09-1915,03 8073 0894,brisbane
1005,sophie,waltke,17-03-1946,07 9619 5769,sydney
1006,sian,campbell,16-11-1928,02 6070 0021,sydney
101,sophie,leoni,10-08-1967,04 9893 2640,canberra
1011,caleb,haggett,21-01-2009,03 1782 3872,canberra
1014,claire,jessup,16-10-1918,03 1419 4457,perth
1017,hamish,blaje,30-06-2908,03 0499 5201,syclney
1021,ky,laverty,03-06-1974,04 2907 8999,melbourne
1026,trinity,alcazvr,11-07-1972,08 1143 9635,
103,hayley,bishop,27-02-1903,03 3323 3059,canberra
1034,luke,noble,10-12-1962,03 0498 0327,sydney
104,abbey,matston,21-09-2989,08 2311 5266,sydney
1044,jordan,capurso,25-04-1969,04 2265 7693,perth
1046,bayley,lo4,12-05-1926,07 0505 2232,bnsbane
1047,dylan,do17aodson,,08 8472 3847,sydnev
1048,isabella,mazzone,17-11-1986,02 1688 9340,sydney
105,bianca,knapman,29-04-1987,07 4208 9532,brisbane
1052,david,tiede,15-06-1967,03 8533 3103,melbourne
1055,bianca,green,11-02-1914,02 0480 8696,brisbane
1056,ayden,lavender,05-06-1949,02 2076 1017,melbourne
106,annabel,blandis,09-02-1918,02 5236 9838,melbourne
1062,connor,blackwell,09-07-1957,03 4992 7715,sydney
1065,etward,vogli17o,19-19-1917,02 8993 4390,perth
1066,abbey,clarke,02-10-2901,03 0480 0624,melbovmw
107,chloe,noble,28-02-2010,07 6235 7381,sydney
1076,charlotte,carbone,02-09-2006,08 7079 2879,canberra
1077,jaden,statton,21-01-1991,08 1998 2348,brisbane
1081,olivia,varcoe,25-06-1993,03 3144 4705,sydney
1082,william,green,28-97-1941,03 0749 0636,sydjry
1085,liam,dixon,01-01-1912,02 4394 8045,sydney
109,liam,clarke,03-05-1950,02 4112 1476,sydney
1090,joshua,averats,10-05-1920,02 7617 0173,sydney
1095,kylee,dukic,13-03-1986,08 9855 3630,canberra
1101,zamsra,klota,20-03-1921,04 3287 2781,pe4th
1102,kisten,hare,17-09-1933,07 2223 6944,mveluorne
1104,jai4us,claeke,12-05-1913,04 6076 6960,
1106,aikaterina,harrington,31-13-1947,07 2633 8949,sydnev
1107,bailev,hzerbert,,02 5370 3913,
1112,brody,dudley,21-10-1947,02 5033 0210,sydney
