id,givenname,surname,dob,gender,city,income,phone number
0,tara,hilton,27-08-1941,male,canberra,84052.973,08 2210 0298
3,saJi,vernre,22-12-2972,mals,perth,50104.118,02 1090 1906
7,sliver,paciorek,,mals,sydney,31750.893,
9,ruby,george,09-05-1939,male,sydney,135099.875,07 4698 6255
10,eyrinm,campbell,29-1q-1983,male,perth,,08 299y 1535
13,anlka,chou,29-01-2916,female,sydbey,137791.420,07 3211 4441
16,alexandra,chandler,08-08-1911,male,canberra,73687.616,07 6713 8718
19,paul,bowerman,03-02-1916,female,melbourne,1333071.114,08 4105 6176
22,jake,burnell,09-09-1951,male,sydney,40287.767,03 8510 5145
25,kate,pastore,03-09-1933,male,perth,55804.259,02 4216 7877
28,jasmine,allarkl,01-p2-1921,female,,51297.249,03 4699 0806
29,mdaison,lodge,17-12-1969,female,,,02 4853 8516
30,caitlvn,rol>e5on,31-12-1937,malw,scydney,105107.052,07 2226 8544
31,hayley,beelitz,27-02-1911,female,brisbane,64346.239,08 2770 3972
40,timrny,cla5ke,14-08-1903,male,sydnev,71909.786,02 3535 5499
41,jake,blake,18-01-1936,male,melbourne,81657.184,03 4185 8305
45,isabella,koolen,02-10-1980,male,sydney,93522.651,04 3096 4098
46,illy,dohse,12-03-1967,malw,sydhy,63174.t91,02 1522 6095
52,krisdne,nevilile,01-08-1997,male,perth,120785.055,04 4647 2177
53,annal'lse,pempre,22-08-1999,femake,brisbane,55345.466,04 2302 1449
59,meiiky,tho5pe,02-02-1995,male,pertb,259570.056,08 0166 1864
65,malya,thredgold,,female,canberra,32367.524,02 9552 3838
66,michael,paine,27-09-1958,male,melbourne,135697.261,07 7955 2590
68,alexahder,murton,25-12-1945,mald,melbourne,41350.135,07 4299 8059
70,vanessa,blake,05-12-1945,female,sydney,102202.102,02 2074 0210
73,hannah,terrens,20-06-1925,female,sydney,170956.839,03 4991 7081
80,lucy,streich,15-09-1925,female,sydney,151070.497,03 2910 2605
82,lacblam,haack,27-04-2979,male,can1>erea,50691.889,02 4463 3959
84,rhys,winfield,27-09-1971,female,melbourne,339523.744,07 0438 4527
89,james,bradshaw,01-02-2012,male,perth,17962.494,03 4121 6771
98,jemrna,eyar,09-03-1952,,sydney,89919.294,03 9331 6035
100,wjllyam,rudd,29-04-1969,,canberra,83635.315,04 0726 3946
1001,lauren,green,13-02-1954,male,sydney,169884.831,03 2464 6462
1002,genevieve,halik,14-06-1940,female,canberra,48617.287,07 5611 1100
1003,archie,slape,13-07-1923,female,canberra,43779.422,03 1691 5166
1009,charlotte,leung,14-04-1964,male,melbourne,150977.796,03 2575 5385
1012,nicole,crouch,01-06-2000,female,melbourne,1632250.781,07 7512 5502
1013,william,gaskin,26-11-1963,male,sydney,92719.305,02 2289 6249
1017,hamish,blake,30-06-1908,male,sydney,155359.973,03 0499 5201
1018,eliza,reid,16-02-1914,female,brisbane,57835.887,02 9969 4435
1019,joanna,mcgregor,16-11-1959,female,canberra,42378.883,08 8705 3186
102,tegam,blowez,23-06-1963,male,,330807.249,08 2616 6544
1021,ky,laverty,03-05-1974,,melb0urne,157131.299,04 2907 8990
1024,shelby,haar,03-08-1977,male,canberra,56566.514,04 5050 3497
1026,tr9intv,alcazar,,malr,canberra,61527.653,08 1143 9635
1032,chloe,myles,11-06-1961,female,canberra,38878.943,02 8920 6374
1033,lilly,khodan,05-08-1916,male,canberra,76193.043,08 5768 0300
104,abbev,matsoj,21-09-1989,make,sydeny,96981.368,08 3311 5266
1042,mia,nguyen,30-01-1906,male,melbourne,45415.248,08 0214 9238
1045,joshua,burnell,25-07-1995,female,brisbane,69428.411,07 5158 4686
1046,bayley,loe,12-06-1926,fenale,brisabne,26744.945,07 0595 2232
1047,dylan,tonaldson,08-10-1923,femake,,82357.276,08 8472 3847
105,bianca,ckanapman,,,brisbane,45009.637,
1050,chelsea,millar,02-12-1950,female,melbourne,101903.535,04 3617 9351
1051,tristan,shirodkar,25-10-2011,female,melbourne,1253432.675,03 0775 8206
1063,kaitlin,curry,30-08-1927,female,brisbane,84938.972,07 4889 7537
1065,etommd,foglino,19-20-1917,male,,159432.605,02 8993 4390
1066,abbey,bclarke,,male,meloburne,120958.828,03 0489 0624
1070,kimberly,tsakiridis,20-01-1951,male,perth,75402.286,08 3476 9846
1074,grayson,petersen,27-09-2008,female,melbourne,1322375.629,03 1681 1680
1078,emma,corbin,20-04-1974,female,sydney,166562.188,04 8598 9667
108,mason,white,06-12-1981,male,perth,590390.297,08 1612 6220
1080,makenzie,nye,09-03-1983,female,sydney,167841.122,03 4684 7837
1082,iwlluarn,green,28-07-1941,,,79322.759,
1084,tahlia,reid,01-01-1961,male,sydney,157796.309,02 5657 6615
1086,zane,noble,28-08-1916,female,brisbane,61220.089,08 4071 3007
1091,samuel,hanks,13-11-2004,male,melbourne,151629.527,04 9851 5930
1092,anastasia,van tuil,06-07-1941,male,sydney,67254.939,02 9421 6951
1101,swmara,clta,20-03-1921,mal3,perth,328460.138,04 32i7 2781
1102,kristen,hare,17-09-1933,make,melb9urne,125436.298,07 3233 6944
1104,jai5us,calrje,12-05-1923,female,,167377.253,04 6077 6960
1105,natalee,noble,20-09-1966,male,sydney,80410.264,08 4405 1359
1106,akateruina,arrington,31-12-1937,malf,sydney,140582.730,
1107,bavley,herp3rt,03-02-2008,malr,cabnerra,58667.970,02 5370 3913
1108,thomas,waller,27-11-1951,female,canberra,61434.338,03 9831 2186
1109,chloe,stanbury,17-05-1972,female,sydney,135210.933,07 1147 9496
1111,louise,nicolle,08-07-1941,male,sydney,115368.280,03 8681 6316
1114,hannah,clarke,21-04-1951,female,melbourne,505125.295,08 8310 4341
112,rhys,carraill,15-03-1969,female,brisbane,25372.945,08 8755 8259
1121,eleanor,bramy,03-03-1934,femzoe,sydhev,173328.176,07 3373 2390
1122,tynan,rotumah,24-12-1929,male,melbourne,131242.015,03 7452 6208
1124,caemron,drought,19-06-2011,male,cangerra,51382.864,08 6242 3628
1126,aikaterina,manson,18-10-1948,female,canberra,41796.862,02 5375 3047
1132,betany,skudds,31-06-1939,male,melb0urne,101217.731,08 8508 0857
1138,edward,riddell,23-01-1973,male,canberra,70004.296,03 5142 0485
1139,grace,parmakli,26-02-1925,female,brisbane,42492.292,02 2543 3207
